[2024-11-01 10:09:19.541] [error] Unrecognized Content-Security-Policy directive 'prefetch-src'.
[2024-11-01 10:09:19.737] [error] Unrecognized Content-Security-Policy directive 'prefetch-src'.
[2024-11-01 10:09:19.738] [error] Unrecognized Content-Security-Policy directive 'prefetch-src'.
[2024-11-01 10:09:21.934] [info]  Initializing voice engine with audio subsystem: standard
[2024-11-01 10:09:22.011] [info]  [default] [BUILD INFO] Release Channel: stable, Build Number: 339221, Version Hash: 36872679de2a9e11cc7bc69924d1a64fdb46f66f
[2024-11-01 10:09:22.143] [info]  [default] [NATIVE INFO] host 0.0.72, modules: discord_desktop_core: 1, discord_erlpack: 1, discord_spellcheck: 1, discord_utils: 1, discord_voice: 1, discord_zstd: 1, build: null
[2024-11-01 10:09:22.184] [error] [Spellchecker] sh is not a valid locale.
[2024-11-01 10:09:22.255] [info]  [Spellchecker] Switching to en-US (available)
[2024-11-01 10:09:22.256] [error] Unrecognized Content-Security-Policy directive 'prefetch-src'.
[2024-11-01 10:09:22.262] [error] Unrecognized Content-Security-Policy directive 'prefetch-src'.
[2024-11-01 10:09:28.705] [warn]  [CloudSyncUtils] CloudSync is not supported on this platform
[2024-11-01 10:09:28.831] [warn]  [DEPRECATED] Please use `subscribeWithSelector` middleware
[2024-11-01 10:09:29.068] [error] Unrecognized Content-Security-Policy directive 'prefetch-src'.
[2024-11-01 10:09:29.068] [error] Unrecognized Content-Security-Policy directive 'prefetch-src'.
[2024-11-01 10:09:34.283] [warn]  The resource https://discordapp.com/assets/b21c5111a12372139409.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally.
[2024-11-01 10:09:34.284] [warn]  The resource https://discordapp.com/assets/f5b8aa3411dfc24ff2e6.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally.
[2024-11-01 10:09:34.284] [warn]  The resource https://discordapp.com/assets/8bd8143eff37936894aa.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally.
[2024-11-01 10:09:34.284] [warn]  The resource https://discordapp.com/assets/48a594e29497835802fe.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally.
[2024-11-01 10:09:34.284] [warn]  The resource https://discordapp.com/assets/452d7be36bf4b23241bd.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally.
[2024-11-01 10:09:34.284] [warn]  The resource https://discordapp.com/assets/8234e0a75aa9afb205bd.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally.
[2024-11-01 10:09:41.003] [info]  [RPCServer:WSS] Starting on 6463
[2024-11-01 10:09:41.009] [info]  [RPCServer:IPC] Starting on /run/user/1000/discord-ipc-0
[2024-11-01 10:09:41.050] [info]  [LoginQRSocket] [0ms] connecting to wss://remote-auth-gateway.discord.gg/?v=2
[2024-11-01 10:09:41.509] [info]  [LoginQRSocket] [459ms] got hello, auth timeout=339753ms
[2024-11-01 10:09:41.575] [info]  [LoginQRSocket] [525ms] connected, handshaking with fingerprint: VAqRjlu_ymG4I8-nILhZRoLgOSUKOo552TqoPUkoGxE
[2024-11-01 10:09:41.876] [info]  [LoginQRSocket] [826ms] computed nonce proof
[2024-11-01 10:09:42.404] [info]  [LoginQRSocket] [1354ms] handshake complete awaiting remote auth.
[2024-11-01 10:09:44.584] [info]  [RPCServer:WSS] Socket Message: 3 [object Object]
[2024-11-01 10:09:44.585] [info]  [RPCServer:WSS] Socket Emit: 3 [object Object]
[2024-11-01 10:09:48.802] [warn]  The resource https://discordapp.com/assets/b21c5111a12372139409.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally.
[2024-11-01 10:09:48.802] [warn]  The resource https://discordapp.com/assets/f5b8aa3411dfc24ff2e6.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally.
[2024-11-01 10:09:48.802] [warn]  The resource https://discordapp.com/assets/8bd8143eff37936894aa.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally.
[2024-11-01 10:09:48.802] [warn]  The resource https://discordapp.com/assets/48a594e29497835802fe.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally.
[2024-11-01 10:09:48.803] [warn]  The resource https://discordapp.com/assets/452d7be36bf4b23241bd.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally.
[2024-11-01 10:09:48.803] [warn]  The resource https://discordapp.com/assets/8234e0a75aa9afb205bd.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally.
[2024-11-01 10:10:40.047] [info]  [WindowVisibilityVideoManager] Window visibility incoming video changed, incomingVideoEnabled = false
[2024-11-01 10:13:11.657] [info]  [WindowVisibilityVideoManager] Window visibility incoming video changed, incomingVideoEnabled = true
[2024-11-01 10:14:03.047] [info]  [WindowVisibilityVideoManager] Window visibility incoming video changed, incomingVideoEnabled = false
[2024-11-01 10:15:21.322] [info]  [LoginQRSocket] [340248ms] disconnected, code: 4003 Handshake Timeout
[2024-11-01 10:15:21.322] [error] [LoginQRSocket] Could not complete QR code login, trying to restart with a new QR code.
[2024-11-01 10:15:25.023] [info]  [LoginQRSocket] document is not visible, will defer reconnection when document becomes visible.
[2024-11-01 10:15:25.024] [error] WebSocket is already in CLOSING or CLOSED state.
[2024-11-01 10:16:07.047] [info]  [LoginQRSocket] [385972ms] heartbeat timeout, reconnecting.
[2024-11-01 10:16:07.048] [error] [LoginQRSocket] Could not complete QR code login, trying to restart with a new QR code.
[2024-11-01 10:16:12.046] [info]  [LoginQRSocket] document is not visible, will defer reconnection when document becomes visible.
[2024-11-01 10:16:48.046] [info]  [LoginQRSocket] [426972ms] heartbeat timeout, reconnecting.
[2024-11-01 10:16:48.047] [error] [LoginQRSocket] Could not complete QR code login, trying to restart with a new QR code.
